AQI,AQI_Class,hour,fog_impact_index,o_glcm_energy,o_glcm_contrast,o_glcm_homogenity,o_glcm_entropy,glcm_energy_delta,glcm_contrast_delta,glcm_homogenity_delta,glcm_entropy_delta,airligh_r,airlight_g,airlight_b,o_r_mean,o_r_variance,o_r_skewness,o_g_mean,o_g_variance,o_g_skewness,o_b_mean,o_b_variance,o_b_skewness,o_r2g,o_r2b,o_g2b,d_r_mean,d_r_variance,d_r_skewness,d_g_mean,d_g_variance,d_g_skewness,d_b_mean,d_b_variance,d_b_skewness
158,d_Unhealthy,12:00,0.510908,0.000943997,245.101,0.32352,8.10217,0.0271627,-213.817,0.230525,-1.86867,214,217,215,125.421,4719.29,-0.192445,124.811,4951.48,-0.174944,122.325,4679.51,-0.176576,1.0046,1.02493,1.02023,85.1836,2403.67,0.556096,84.2357,2284.95,0.525912,79.4986,1823.01,0.584026
158,d_Unhealthy,12:00,0.521758,0.000897329,244.333,0.314881,8.11794,0.0243349,-213.012,0.225583,-1.79219,214.98,218.12,215.7,127.224,4730.5,-0.229632,126.6,4985.88,-0.208111,123.611,4658.87,-0.210014,1.00463,1.02883,1.02408,86.5579,2475.99,0.507834,85.0791,2305.14,0.466547,78.3542,1736.75,0.543581
158,d_Unhealthy,12:00,0.53333,0.000927934,232.855,0.320761,8.07953,0.0239202,-203.049,0.219088,-1.75661,215.7,218.7,216.7,128.666,4676.78,-0.264892,128.371,4901.65,-0.243024,125.299,4614.38,-0.244442,1.00218,1.02663,1.0244,85.0008,2206.02,0.50131,84.771,2101.62,0.46358,78.0766,1599.99,0.57569
158,d_Unhealthy,12:00,0.530509,0.000925362,249.049,0.317498,8.07642,0.0229617,-215.011,0.219722,-1.73359,214.86,217.86,215.86,128.099,4681.63,-0.256899,127.704,4921.77,-0.235333,124.808,4609.31,-0.236317,1.00279,1.02594,1.02308,85.3498,2348.84,0.52372,85.1747,2249.31,0.483161,78.6669,1736.8,0.614128
158,d_Unhealthy,12:00,0.524023,0.000984315,248.846,0.328562,8.06319,0.0235624,-217.713,0.217594,-1.74574,214.9,217.82,215.82,127.503,4695.16,-0.239408,126.742,4915.15,-0.218864,124.494,4637.14,-0.219145,1.00547,1.02364,1.01808,85.4381,2349.55,0.535275,83.9338,2171.46,0.495521,79.6802,1794.51,0.615398
158,d_Unhealthy,12:00,0.518915,0.00098407,254.097,0.327035,8.07343,0.0234578,-222.489,0.219964,-1.77682,214.92,216.96,214.96,126.402,4680.56,-0.218849,125.561,4916.07,-0.198017,123.3,4637.18,-0.196856,1.00665,1.02487,1.01811,85.9287,2413.65,0.547281,84.2459,2248.75,0.515257,78.2388,1712.72,0.606556
158,d_Unhealthy,12:00,0.497672,0.000893187,243.377,0.312295,8.10899,0.0296634,-218.141,0.250007,-2.04975,211.64,215.56,210.8,124.326,4346.08,-0.198985,124.319,4598.52,-0.169644,122.134,4433.15,-0.174622,1.00017,1.01796,1.01779,89.6478,2657.45,0.569662,85.2905,2180.03,0.60632,84.5428,1993.31,0.626782
158,d_Unhealthy,12:00,0.509613,0.000920833,268.516,0.320394,8.12746,0.0269616,-236.824,0.233288,-1.89958,215.34,216.34,214.34,124.827,4678.75,-0.184069,123.761,4937.24,-0.163253,121.614,4640.42,-0.16494,1.00838,1.02601,1.01748,86.7483,2469.41,0.533005,85.0183,2329.99,0.491678,77.1696,1615.46,0.539589
158,d_Unhealthy,12:00,0.509933,0.0009213,267.758,0.321981,8.1259,0.0267221,-238.591,0.232207,-1.90386,216.12,216.94,215,125.133,4661.18,-0.188383,124.01,4929.09,-0.167684,122.173,4620.72,-0.167668,1.00886,1.02388,1.01488,85.9279,2412.58,0.525146,84.2165,2264.81,0.474034,76.8972,1594.68,0.559201
158,d_Unhealthy,12:00,0.518939,0.000987845,252.828,0.327332,8.07912,0.025968,-222.813,0.227426,-1.86846,215.9,216.9,214.9,126.022,4657.26,-0.216391,125.187,4902.14,-0.194032,123.25,4626.11,-0.191329,1.00647,1.0222,1.01562,85.7575,2351.87,0.520109,84.3584,2213.57,0.474644,77.5392,1596.02,0.577712
158,d_Unhealthy,12:00,0.504136,0.000920216,269.255,0.32279,8.13794,0.0282922,-238.981,0.236157,-1.96292,215.66,216.66,214.66,123.99,4706.57,-0.165469,122.96,4947.05,-0.147496,120.791,4675.02,-0.145473,1.00807,1.02615,1.01793,85.7062,2442.56,0.530224,83.7056,2263.7,0.471579,76.1802,1584.94,0.528274
158,d_Unhealthy,12:00,0.510476,0.000946093,279.002,0.323961,8.11664,0.0261321,-242.948,0.228823,-1.88555,214.88,216.36,213.96,124.938,4677.63,-0.188507,124.108,4890.31,-0.170105,121.728,4638.53,-0.167908,1.00637,1.02602,1.01952,87.3154,2562.92,0.532235,84.6862,2295.1,0.476877,77.7617,1682.67,0.547084
158,d_Unhealthy,12:00,0.507779,0.000971177,280.405,0.324029,8.11111,0.0279615,-246.028,0.232873,-1.94198,213.34,216.18,214.18,124.685,4676.27,-0.18664,123.807,4901.86,-0.167656,121.365,4649.01,-0.164269,1.0069,1.02703,1.01999,85.6525,2418.35,0.54264,83.8076,2237.26,0.511851,79.2575,1794.61,0.575308
158,d_Unhealthy,12:00,0.515244,0.00104584,272.839,0.32735,8.07578,0.0267023,-243.929,0.229609,-1.88792,215,216,214,125.212,4657.66,-0.203212,124.196,4901.74,-0.180318,121.923,4641.2,-0.177258,1.00782,1.02637,1.01841,86.5501,2456.37,0.520191,84.7246,2306.83,0.496681,77.0527,1597.24,0.535243
158,d_Unhealthy,12:00,0.514466,0.000962441,280.942,0.32203,8.09665,0.0288712,-250.931,0.236583,-1.96428,211.74,214.74,212.74,123.677,4670.85,-0.206095,122.576,4924.01,-0.181545,120.167,4616.68,-0.177142,1.00851,1.02864,1.01996,84.339,2317.35,0.507062,82.4037,2156.21,0.490611,77.5872,1704.9,0.589042
158,d_Unhealthy,12:00,0.522857,0.00102081,289.975,0.328023,8.07518,0.0223482,-256.342,0.220777,-1.81332,217,220,218,128.324,4703.34,-0.239055,127.489,4941.59,-0.212198,125.193,4679.7,-0.208538,1.00646,1.02491,1.01833,85.2425,2279.98,0.524618,83.6928,2105.68,0.511077,79.7007,1723.18,0.60156
158,d_Unhealthy,12:00,0.515194,0.00101001,290.629,0.323381,8.10054,0.0249889,-260.258,0.230834,-1.90236,216.32,219.4,217.16,126.944,4724.34,-0.215619,126.094,4959.21,-0.18904,123.663,4694.87,-0.183913,1.00663,1.02629,1.01953,85.7295,2347.5,0.521313,83.6777,2123.54,0.48642,79.5592,1736.03,0.570211
158,d_Unhealthy,12:00,0.505821,0.000944034,240.102,0.319153,8.06722,0.0288688,-215.077,0.246756,-2.01964,211.7,214.84,212.42,125.192,4382.59,-0.204994,125.142,4595.85,-0.180651,122.677,4453.02,-0.183175,1.00022,1.02019,1.01997,88.2736,2475.13,0.548483,87.8976,2364.36,0.664026,84.9382,2030.16,0.663167
158,d_Unhealthy,12:00,0.505516,0.000913597,306.601,0.313936,8.17341,0.0291581,-274.827,0.241474,-2.02427,214.88,217.86,215.9,125.12,4765.44,-0.182127,124.207,4976.82,-0.156014,121.262,4703.45,-0.150564,1.00713,1.0313,1.02399,86.9891,2507.72,0.555889,84.9988,2273.47,0.50739,79.1379,1751.94,0.571477
158,d_Unhealthy,12:00,0.508183,0.000917524,304.112,0.315508,8.15442,0.0282343,-268.983,0.241747,-2.00991,214.98,217.98,215.98,125.195,4818.47,-0.190071,124.489,5020.16,-0.16373,121.625,4749.43,-0.156646,1.00554,1.02907,1.0234,86.6689,2543.16,0.547456,85.1085,2336.07,0.5246,79.519,1805.74,0.570136
158,d_Unhealthy,12:00,0.516419,0.000945402,282.606,0.319799,8.11366,0.0304313,-254.096,0.241237,-2.00968,214.66,215.66,213.66,124.366,4713.14,-0.206585,123.937,4906.52,-0.179119,121.246,4679.04,-0.171917,1.00314,1.02534,1.02213,86.2011,2484.38,0.526879,85.4547,2326.25,0.512688,77.094,1605.34,0.572177
158,d_Unhealthy,12:00,0.509208,0.000912163,293.248,0.316358,8.15562,0.0270558,-261.861,0.236795,-1.98151,217.86,220.86,218.86,126.803,4788.21,-0.196146,126.35,5007.32,-0.16832,123.664,4751.74,-0.16175,1.00385,1.02533,1.0214,85.9503,2342.62,0.498543,85.0874,2191.94,0.492187,80.426,1741.72,0.542065
158,d_Unhealthy,12:00,0.505485,0.000910349,296.203,0.316031,8.1672,0.0287281,-261.392,0.239951,-2.02226,217.98,220.98,218.98,126.213,4802.86,-0.17994,125.749,5026.64,-0.154241,123.024,4772.25,-0.147323,1.00386,1.02587,1.02192,85.3193,2332.74,0.498339,84.5081,2187.54,0.482467,79.8828,1740.52,0.547257
158,d_Unhealthy,12:00,0.503583,0.000906964,300.37,0.31384,8.17679,0.0287552,-267.883,0.241607,-2.03286,217.84,220.84,218.84,125.964,4803.07,-0.175002,125.452,5026.53,-0.148432,122.752,4766.24,-0.140651,1.00416,1.02601,1.02176,85.3149,2346.36,0.499856,84.4831,2213.2,0.488319,79.705,1735.21,0.528372
158,d_Unhealthy,12:00,0.505774,0.000893982,308.252,0.311854,8.18639,0.0278297,-276.964,0.241206,-2.02944,217.66,220.66,218.66,126.114,4826.4,-0.1849,125.649,5048.27,-0.157529,123.038,4781.97,-0.148988,1.0039,1.02492,1.02093,85.8791,2396.23,0.488154,85.0498,2243.78,0.476268,80.5581,1791.26,0.523731
158,d_Unhealthy,12:00,0.505819,0.000891311,303.683,0.314624,8.18709,0.0302422,-270.448,0.245372,-2.07876,217.56,220.56,218.56,126.096,4815.18,-0.183017,125.61,5030.85,-0.153653,123.089,4767.28,-0.145703,1.00404,1.02438,1.02026,86.0882,2394.99,0.491249,85.2129,2241.26,0.484845,80.9096,1786.05,0.533051
